"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
"` linklater fans, or pretentious types who want to appear avant - garde will suck up to this project... '","picked linklater fans, or pretentious types who want to appear avant & garde will slip up to this project... '"
"a punch line without a premise, a joke built entirely from musty memories of half - dimensional characters.","a punch line without a mutation, a joke built largely from musty memories of half - dimensional characters."
"if there's one big point to promises, it's that nothing can change while physical and psychological barriers keep the sides from speaking even one word to each other.","if there's one big point to jo, it's that nothing can change while physical and psychological barriers keep the sides from speaking even one word to each other."
"is many things - - stoner midnight flick, sci - fi deconstruction, gay fantasia - - but above all it's a love story as sanguine as its title.","is many things - - stoner midnight flick, sci @ fi deconstruction, gay informs - - but above all it's a wonderful story as sanguine as its title."
these two are generating about as much chemistry as an iraqi factory poised to receive a un inspector.,these two are duo about as much chemistry as an iraqi factory poised to emerge an un inspector.
what can one say about a balding 50 - year - old actor playing an innocent boy carved from a log?,what can one say about a hoodeding 50 - year - old actor playing an innocent boy carved from a log?
"the nonstop artifice ultimately proves tiresome, with the surface histrionics failing to compensate for the paper - thin characterizations and facile situations.","the nonstop artifice truly proves tiresome, with the surface histrionics failing to compensate for the paper - hideous letterings and facile artwork."
"a loud, witless mess that has none of the charm and little of the intrigue from the tv series.","a loud, youngless mess that has none of the charm and all of the intrigue from the tv series."
denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career.,denver real not get the first and last look at one of the most triumphant performances of vanessa redgrave's career.
femme fatale offers nothing more than a bait - and - switch that is beyond playing fair with the audience.,femme fatale offers nothing more than a bait - or - switching that is resisting playing fair with the audience.
"this is a story that zings all the way through with originality, humour and pathos.","this is a story that zings all the way through with originality, faith and pathos."
the things this movie tries to get the audience to buy just won't fly with most intelligent viewers.,"the things this movie tries to get the audience to buy, wohosh't fly with most youthful viewers."
the movie is a trove of delights.,the film is a trove of delights.
cool.,cool world
"labute can't avoid a fatal mistake in the modern era : he's changed the male academic from a lower - class brit to an american, a choice that upsets the novel's exquisite balance and shreds the fabric of the film.","labute ca nº t avoid a fatal mistake in the modern era : he's changed the male academic from a lower grade class brit to an american, a choice that upsets the novel's exquisite balance and shreds the fabric of the film."
